offense,group,complaints_2015_2026q1,arrests_2015_2026q1
Alcoholic beverage control law,proactive,1060,3667
Burglar's tools,proactive,3859,7730
Cannabis-related offenses,proactive,671,717
Criminal trespass,proactive,37063,45356
Dangerous drugs,proactive,113504,194316
Dangerous weapons (possession),proactive,36262,40469
Disorderly conduct,proactive,899,4333
Fortune telling,proactive,7,2
Fraudulent accosting,proactive,1349,1053
Gambling,proactive,2624,5713
Intoxicated/impaired driving (DWI),proactive,47060,45496
Jostling (pickpocketing),proactive,420,535
Loitering,proactive,11,62
Loitering for drug purposes,proactive,0,38
Loitering/gambling,proactive,79,131
Other traffic infraction,proactive,9,31843
Prostitution & related offenses,proactive,1786,11743
Theft of services (fare evasion),proactive,2759,1135
Under the influence of drugs,proactive,1,3
Unlawful possession of weapon on school grounds,proactive,68,6
Vehicle and traffic laws,proactive,148095,154584
Assault 3 & related offenses,victim,620606,383735
Criminal mischief,victim,368963,64050
Disruption of a religious service,victim,26,29
Endangering welfare,victim,108,322
Forcible touching,victim,0,2864
Frauds,victim,30317,11632
Harassment 2,victim,860708,872
Offenses against the person,victim,15321,14983
Offenses involving fraud,victim,21736,30943
Offenses related to children,victim,635,897
Other theft-related offenses,victim,49283,135363
Petit larceny,victim,1080525,254979
Petit larceny of a motor vehicle,victim,3324,0
Possession of stolen property,victim,9466,14465
Sex crimes,victim,72629,39697
Unauthorized use of a vehicle,victim,17677,7437
Administrative code,other,19176,14209
Agriculture & markets law,other,1166,331
Anticipatory offenses (attempt/conspiracy),other,165,859
Escape 3,other,246,94
Miscellaneous penal law,other,6899,5073
NYC health code,other,68,449
NYS laws (unclassified),other,85,3
Offense against public order/sensibility,other,219465,50826
Offenses against marriage,other,2,0
Offenses against public administration,other,89661,91071
Offenses against public safety,other,1235,954
Other state laws,other,1122,33562
Other state laws (non-penal),other,4856,15909
Uncoded / unknown,other,1160,2802
